EUR-USD	14:00:00.000	1.29398
USD-JPY	14:00:00.091	94.684
USD-JPY	14:00:00.211	94.684
EUR-JPY	14:00:00.459	122.522
EUR-JPY	14:00:01.115	122.522
EUR-USD	14:00:01.139	1.29398
USD-JPY	14:00:01.150	94.687
EUR-JPY	14:00:01.192	122.526
USD-JPY	14:00:01.229	94.688
EUR-USD	14:00:01.231	1.29398
EUR-USD	14:00:01.570	1.294
EUR-JPY	14:00:01.620	122.526
USD-JPY	14:00:01.741	94.688
EUR-USD	14:00:01.879	1.29398
EUR-JPY	14:00:02.168	122.526
USD-JPY	14:00:02.228	94.688
EUR-JPY	14:00:02.294	122.526
EUR-USD	14:00:02.361	1.29399
USD-JPY	14:00:02.649	94.687
EUR-JPY	14:00:02.843	122.523
USD-JPY	14:00:02.848	94.687
EUR-USD	14:00:02.910	1.29399
EUR-JPY	14:00:02.911	122.517
EUR-JPY	14:00:02.969	122.514
EUR-JPY	14:00:03.029	122.512
EUR-JPY	14:00:03.151	122.499
USD-JPY	14:00:03.152	94.668
EUR-JPY	14:00:03.210	122.5
EUR-USD	14:00:03.211	1.29395
USD-JPY	14:00:03.223	94.668
USD-JPY	14:00:03.290	94.668
EUR-JPY	14:00:03.569	122.5
EUR-USD	14:00:03.629	1.29398
EUR-JPY	14:00:03.870	122.501
USD-JPY	14:00:03.939	94.67
EUR-USD	14:00:04.169	1.29398
EUR-USD	14:00:04.350	1.29396
EUR-JPY	14:00:04.409	122.502
EUR-JPY	14:00:04.470	122.502
USD-JPY	14:00:04.480	94.671
EUR-USD	14:00:04.890	1.29396
EUR-JPY	14:00:05.010	122.502
EUR-JPY	14:00:06.120	122.502
USD-JPY	14:00:06.180	94.671
EUR-USD	14:00:06.740	1.29397
USD-JPY	14:00:06.893	94.671
USD-JPY	14:00:08.260	94.672
EUR-JPY	14:00:08.319	122.502
EUR-USD	14:00:08.469	1.29396
EUR-JPY	14:00:08.531	122.501
USD-JPY	14:00:08.534	94.674
EUR-USD	14:00:08.590	1.29393
EUR-JPY	14:00:08.590	122.498
EUR-USD	14:00:08.650	1.29391
USD-JPY	14:00:08.674	94.674
USD-JPY	14:00:08.800	94.674
EUR-JPY	14:00:08.830	122.494
EUR-JPY	14:00:08.895	122.494
EUR-USD	14:00:08.896	1.29388
USD-JPY	14:00:08.925	94.675
EUR-USD	14:00:08.963	1.29384
USD-JPY	14:00:08.992	94.676
USD-JPY	14:00:09.052	94.674
EUR-JPY	14:00:09.080	122.492
EUR-JPY	14:00:09.140	122.492
EUR-USD	14:00:09.150	1.29383
EUR-JPY	14:00:09.202	122.491
USD-JPY	14:00:09.253	94.673
EUR-JPY	14:00:09.269	122.486
USD-JPY	14:00:09.324	94.673
EUR-JPY	14:00:09.332	122.486
EUR-USD	14:00:09.451	1.29379
USD-JPY	14:00:09.630	94.672
EUR-USD	14:00:09.690	1.29378
USD-JPY	14:00:10.051	94.673
EUR-JPY	14:00:10.062	122.486
USD-JPY	14:00:10.112	94.673
USD-JPY	14:00:10.172	94.673
EUR-USD	14:00:10.230	1.29378
USD-JPY	14:00:10.290	94.674
EUR-JPY	14:00:10.359	122.488
EUR-JPY	14:00:10.490	122.489
EUR-JPY	14:00:10.550	122.49
EUR-USD	14:00:10.590	1.29377
EUR-JPY	14:00:10.609	122.491
USD-JPY	14:00:10.651	94.678
USD-JPY	14:00:11.304	94.679
EUR-JPY	14:00:11.350	122.506
EUR-USD	14:00:11.365	1.29385
USD-JPY	14:00:11.389	94.679
EUR-USD	14:00:11.453	1.29386
EUR-JPY	14:00:11.710	122.506
EUR-USD	14:00:11.999	1.29388
EUR-USD	14:00:12.858	1.29388
EUR-JPY	14:00:13.088	122.506
USD-JPY	14:00:13.343	94.676
EUR-JPY	14:00:13.389	122.501
USD-JPY	14:00:13.410	94.673
EUR-USD	14:00:13.422	1.29387
EUR-JPY	14:00:13.509	122.495
USD-JPY	14:00:13.530	94.674
USD-JPY	14:00:13.590	94.672
USD-JPY	14:00:13.832	94.672
EUR-JPY	14:00:13.870	122.497
EUR-USD	14:00:13.903	1.29389
USD-JPY	14:00:13.966	94.673
EUR-JPY	14:00:14.111	122.503
USD-JPY	14:00:14.270	94.675
USD-JPY	14:00:14.390	94.676
EUR-USD	14:00:14.399	1.2939
EUR-USD	14:00:14.591	1.2939
EUR-JPY	14:00:14.657	122.503
EUR-USD	14:00:14.795	1.29388
USD-JPY	14:00:14.933	94.676
EUR-JPY	14:00:14.959	122.502
EUR-USD	14:00:14.990	1.29388
USD-JPY	14:00:15.241	94.676
EUR-JPY	14:00:15.261	122.503
EUR-USD	14:00:15.290	1.29389
EUR-USD	14:00:15.350	1.29389
USD-JPY	14:00:15.360	94.678
EUR-JPY	14:00:15.440	122.507
USD-JPY	14:00:15.540	94.678
EUR-JPY	14:00:15.559	122.508
USD-JPY	14:00:15.900	94.68
EUR-USD	14:00:15.949	1.2939
EUR-JPY	14:00:15.978	122.507
EUR-USD	14:00:16.489	1.29389
EUR-JPY	14:00:16.600	122.507
USD-JPY	14:00:16.619	94.679
EUR-USD	14:00:18.059	1.29388
EUR-JPY	14:00:18.069	122.507
EUR-USD	14:00:18.599	1.29387
EUR-JPY	14:00:18.689	122.506
EUR-USD	14:00:18.900	1.29385
EUR-JPY	14:00:18.930	122.503
EUR-JPY	14:00:19.619	122.503
EUR-JPY	14:00:20.139	122.505
EUR-USD	14:00:20.279	1.29385
EUR-JPY	14:00:20.688	122.505
